route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6612,201,11622725,2 DOWNTOWN,,0,1920383,247803,0,0
6612,1,11622726,2 DOWNTOWN,,0,1920385,247804,0,0
6612,1,11622727,2 DOWNTOWN,,0,1920379,247804,0,0
6612,1,11622728,2 DOWNTOWN,,0,1920386,247804,0,0
6612,1,11622729,2 DOWNTOWN,,0,1920394,247804,0,0
6612,1,11622730,2 DOWNTOWN,,0,1920394,247804,0,0
6612,1,11622731,2 DOWNTOWN,,0,1920380,247804,0,0
6612,1,11622732,2 DOWNTOWN,,0,1920387,247804,0,0
6612,1,11622733,2 DOWNTOWN,,0,1920393,247804,0,0
6612,1,11622734,2 DOWNTOWN,,0,1920385,247804,0,0
6612,1,11622735,2 DOWNTOWN,,0,1920391,247803,0,0
6612,1,11622736,2 DOWNTOWN,,0,1920387,247804,0,0
6612,1,11622737,2 DOWNTOWN,,0,1920383,247804,0,0
6612,1,11622738,2 DOWNTOWN,,0,1920388,247803,0,0
6612,1,11622739,2 DOWNTOWN,,0,1920392,247803,0,0
6612,1,11622740,2 DOWNTOWN,,0,1920378,247803,0,0
6612,1,11622741,2 DOWNTOWN,,0,1920385,247803,0,0
6612,1,11622742,2 DOWNTOWN,,0,1920396,247804,0,0
6612,1,11622743,2 DOWNTOWN,,0,1920395,247804,0,0
6612,1,11622744,2 DOWNTOWN,,0,1920403,247804,0,0
6612,1,11622745,2 DOWNTOWN,,0,1920379,247803,0,0
6612,1,11622747,2 DOWNTOWN,,0,1920393,247803,0,0
6612,1,11622748,2 DOWNTOWN,,0,1920378,247803,0,0
6612,1,11622749,2 DOWNTOWN,,0,1920391,247804,0,0
6612,1,11622750,2 DOWNTOWN,,0,1920390,247804,0,0
6612,1,11622751,2 DOWNTOWN,,0,1920378,247803,0,0
6612,1,11622752,2 DOWNTOWN,,0,1920393,247804,0,0
6612,1,11622753,2 DOWNTOWN,,0,1920386,247804,0,0
6612,1,11622754,2 DOWNTOWN,,0,1920401,247804,0,0
6612,1,11622755,2 DOWNTOWN,,0,1920394,247804,0,0
6612,1,11622756,2 DOWNTOWN,,0,1920381,247804,0,0
6612,1,11622757,2 DOWNTOWN,,0,1920402,247804,0,0
6612,1,11622758,2 DOWNTOWN,,0,1920380,247804,0,0
6612,1,11622759,2 DOWNTOWN,,0,1920378,247804,0,0
6612,1,11622760,2 DOWNTOWN,,0,1927682,247804,0,0
6612,1,11622761,2 DOWNTOWN,,0,1920392,247804,0,0
6612,1,11622762,2 DOWNTOWN,,0,1927682,247804,0,0
6612,1,11622763,2 DOWNTOWN,,0,1927682,247804,0,0
6612,1,11622764,2 DOWNTOWN,,0,1920393,247804,0,0
6612,1,11622765,2 DOWNTOWN,,0,1920383,247803,0,0
6612,1,11622766,2 DOWNTOWN,,0,1920386,247804,0,0
6612,1,11622767,2 DOWNTOWN,,0,1920385,247804,0,0
6612,1,11622768,2 DOWNTOWN,,0,1920385,247804,0,0
6612,1,11622769,2 DOWNTOWN,,0,1920381,247804,0,0
6612,1,11622770,2 DOWNTOWN,,0,1920384,247804,0,0
6612,1,11622771,2 DOWNTOWN,,0,1920378,247804,0,0
6612,1,11622772,2 DOWNTOWN,,0,1927682,247804,0,0
6612,1,11622773,2 DOWNTOWN,,0,1920387,247804,0,0
6612,1,11622774,2 DOWNTOWN,,0,1920380,247803,0,0
6612,1,11622775,2 DOWNTOWN,,0,1920381,247803,0,0
6612,1,11622776,2 DOWNTOWN,,0,1920394,247803,0,0
6612,1,11622777,2 DOWNTOWN,,0,1920386,247803,0,0
6612,1,11622778,2 DOWNTOWN,,0,1920387,247803,0,0
6612,1,11622779,2 DOWNTOWN,,0,1927682,247803,0,0
6612,1,11622780,2 DOWNTOWN,,0,1920385,247803,0,0
6612,1,11622781,2 DOWNTOWN,,0,1920384,247803,0,0
6612,1,11622782,2 DOWNTOWN,,0,1920380,247803,0,0
6612,1,11622783,2 DOWNTOWN,,0,1920386,247803,0,0
6612,1,11622784,2 DOWNTOWN,,0,1920393,247803,0,0
6612,1,11622785,2 DOWNTOWN,,0,1920378,247803,0,0
6612,1,11622786,2 DOWNTOWN,,0,1920387,247803,0,0
6612,1,11622787,2 DOWNTOWN,,0,1927682,247803,0,0
6612,1,11622788,2 DOWNTOWN,,0,1920385,247803,0,0
6612,1,11622789,2 DOWNTOWN,,0,1920384,247803,0,0
6612,1,11622790,2 DOWNTOWN,,0,1920380,247803,0,0
6612,1,11622791,2 DOWNTOWN,,0,1920381,247803,0,0
6612,1,11622792,2 DOWNTOWN,,0,1920394,247803,0,0
6612,1,11622793,2 DOWNTOWN,,0,1920382,247803,0,0
6612,1,11622794,2 DOWNTOWN,,0,1920393,247803,0,0
6612,1,11622795,2 DOWNTOWN,,0,1920380,247804,0,0
6612,1,11622796,2 DOWNTOWN,,0,1920387,247803,0,0
6612,1,11622797,2 DOWNTOWN,,0,1920401,247803,0,0
6612,1,11622798,2 DOWNTOWN,,0,1920384,247803,0,0
6612,1,11622799,2 DOWNTOWN,,0,1920380,247803,0,0
6612,1,11622800,2 DOWNTOWN,,0,1920397,247803,0,0
6612,1,11622801,2 DOWNTOWN,,0,1920389,247804,0,0
6612,1,11622802,2 DOWNTOWN,,0,1920387,247803,0,0
6612,1,11622803,2 DOWNTOWN,,0,1920401,247803,0,0
6612,1,11622804,2 DOWNTOWN,,0,1920386,247803,0,0
6612,1,11622805,2 DOWNTOWN,,0,1920384,247803,0,0
6612,1,11622806,2 DOWNTOWN,,0,1920381,247803,0,0
6612,1,11622807,2 DOWNTOWN,,0,1920378,247804,0,0
6612,1,11622808,2 DOWNTOWN,,0,1920378,247803,0,0
6612,1,11622809,2 DOWNTOWN,,0,1920396,247804,0,0
6612,1,11622810,2 DOWNTOWN,,0,1920381,247804,0,0
6612,1,11622811,2 DOWNTOWN,,0,1920380,247804,0,0
6612,1,11622812,2 DOWNTOWN,,0,1920384,247804,0,0
6612,1,11622813,2 DOWNTOWN,,0,1927682,247803,0,0
6612,1,11622814,2 DOWNTOWN,,0,1920380,247804,0,0
6612,1,11622815,2 DOWNTOWN,,0,1920400,249060,0,0
6612,1,11622816,2 DOWNTOWN,,0,1921281,249060,0,0
6612,1,11622817,2 DOWNTOWN,,0,1920379,247804,0,0
6612,1,11622818,2 DOWNTOWN,,0,1920387,247804,0,0
6612,1,11622819,2 DOWNTOWN,,0,1920393,247804,0,0
6612,1,11622820,2 DOWNTOWN,,0,1920377,247803,0,0
6612,1,11622821,2 DOWNTOWN,,0,1920398,247803,0,0
6612,1,11622822,2 DOWNTOWN,,0,1920397,247803,0,0
6612,1,11622823,2 DOWNTOWN,,0,1920389,247803,0,0
6612,1,11622824,2 DOWNTOWN,,0,1920385,247803,0,0
6612,1,11622825,2 DOWNTOWN,,0,1920384,247804,0,0
6612,1,11622826,2 DOWNTOWN,,0,1920395,247804,0,0
6612,1,11622827,2 DOWNTOWN,,0,1920392,247803,0,0
6612,1,11622828,2 DOWNTOWN,,0,1920381,247804,0,0
6612,1,11622829,2 DOWNTOWN,,0,1920387,247803,0,0
6612,1,11622830,2 DOWNTOWN,,0,1920394,247804,0,0
6612,1,11622831,2 DOWNTOWN,,0,1920388,247803,0,0
6612,1,11622832,2 DOWNTOWN,,0,1927682,247803,0,0
6612,1,11622833,2 DOWNTOWN,,0,1920382,247804,0,0
6612,1,11622834,2 DOWNTOWN,,0,1920386,247804,0,0
6612,1,11622835,2 DOWNTOWN,,0,1920394,247803,0,0
6612,1,11622836,2 DOWNTOWN,,0,1920384,247803,0,0
6612,1,11622837,2 DOWNTOWN,,0,1920390,247803,0,0
