OBJECTID,Stop_Number,Stop_Name,Sub_Region,Municipality,Avg_Daily_Boardings__Monday_Friday,Avg_Daily_Boardings__Saturday,Avg_Daily_Boardings__Sunday_Holiday,Avg_Daily_Alightings__Monday_Friday,Avg_Daily_Alightings__Saturday,Avg_Daily_Alightings__Sunday_Holiday,Stop_Longitude,Stop_Latitude,Route_Connections,Data_Time_Period,Data_Suppression_Note,Line_Number2,x,y
5348,61953,NB MAPLE ST AT ELGIN AVE,Northeast Sector,Port Coquitlam,0,0,0,0,0,0,-122.781442,49.264587,173; 174; 175,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,175,-13667969.36765585,6319877.149054196
5383,52861,NB NORTH RD AT AUSTIN AVE,Northeast Sector,Coquitlam,41,18,16,23,7,5,-122.892697,49.250068,110; 156; 180; N9,Fall 2018,,180,-13680354.142346822,6317400.744623429
5384,53118,NB NORTH RD AT CAMERON ST,Northeast Sector,Coquitlam,145,90,73,105,64,51,-122.892752,49.253122,156; 180; N9,Fall 2018,,180,-13680360.30238933,6317921.527893076
5385,53119,NB NORTH RD AT 600 BLOCK,Northeast Sector,Coquitlam,14,6,5,16,11,9,-122.892802,49.255307,156; 180; N9,Fall 2018,,180,-13680365.840365479,6318294.157841766
5386,53121,NB NORTH RD AT COTTONWOOD AVE,Northeast Sector,Coquitlam,39,9,8,52,21,21,-122.892871,49.258543,156; 157; 180; N9,Fall 2018,,180,-13680373.5742206,6318846.023670528
5387,53123,NB CLARKE RD AT COMO LAKE AVE,Northeast Sector,Coquitlam,50,23,20,22,9,8,-122.886773,49.264022,180; N9,Fall 2018,,180,-13679694.68123358,6319780.768754649
5388,53124,NB CLARKE RD AT MORRISON AVE,Northeast Sector,Coquitlam,8,0,0,39,21,18,-122.884262,49.265996,180; N9,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13679415.198604485,6320117.476890161
5389,53125,NB CLARKE RD AT ROBINSON ST,Northeast Sector,Coquitlam,29,7,6,180,100,78,-122.880872,49.268704,180; N9,Fall 2018,,180,-13679037.765536701,6320579.369110884
5390,53127,NB GLENAYRE DR AT CLARKE RD,Northeast Sector,Coquitlam,10,7,0,130,75,57,-122.879877,49.270411,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13678927.077670228,6320870.58244508
5391,53128,NB GLENAYRE DR AT GLENACRE COURT,Northeast Sector,Port Moody,0,0,0,26,18,15,-122.880481,49.273116,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13678994.294997944,6321332.194357965
5392,53129,NB GLENAYRE DR AT MOUNT ROYAL DR,Northeast Sector,Port Moody,10,0,0,55,27,20,-122.880603,49.275283,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13679007.843974179,6321701.940152409
5393,53130,NB GLENAYRE DR AT VALOUR DR,Northeast Sector,Port Moody,6,0,0,28,13,13,-122.880679,49.276613,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13679016.27921655,6321928.773308224
5394,53131,NB GLENAYRE DR AT ANGELA DR,Northeast Sector,Port Moody,7,0,0,45,24,21,-122.880837,49.279151,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13679033.90740664,6322361.825083695
5395,53132,NB PRINCETON AVE AT HARVARD DR,Northeast Sector,Port Moody,7,0,0,46,24,19,-122.876894,49.283168,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13678594.983138207,6323047.270062353
5396,53133,NB PRINCETON AVE AT MCGILL DR,Northeast Sector,Port Moody,13,7,0,43,28,18,-122.876287,49.285269,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13678527.46115818,6323405.87817921
5397,53134,EB WASHINGTON DR AT 834,Northeast Sector,Port Moody,0,0,0,14,6,6,-122.873455,49.287802,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13678212.17608119,6323838.236090132
5398,53135,EB WASHINGTON DR AT 800 BLOCK,Northeast Sector,Port Moody,0,0,0,9,0,0,-122.872152,49.286765,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13678067.063028025,6323661.209132157
5399,53136,SB WASHINGTON DR AT YALE RD,Northeast Sector,Port Moody,0,0,0,0,0,0,-122.871148,49.285114,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13677955.292826213,6323379.384794014
5400,53137,SB COLLEGE PARK WAY AT OXFORD DR,Northeast Sector,Port Moody,22,11,9,32,12,13,-122.871398,49.283358,180,Fall 2018,,180,-13677983.189968582,6323079.81239139
5401,53139,SB CECILE DR AT EVERGREEN DR,Northeast Sector,Port Moody,38,16,14,39,19,12,-122.875083,49.280889,180,Fall 2018,,180,-13678393.42645109,6322658.445812669
5402,53140,SB CECILE DR AT ANGELA DR,Northeast Sector,Port Moody,70,32,25,43,29,22,-122.875583,49.278404,180,Fall 2018,,180,-13678448.999715853,6322234.374947193
5403,53141,EB CECILE DR AT 1000 BLOCK,Northeast Sector,Port Moody,28,14,10,18,15,8,-122.874738,49.275792,180,Fall 2018,,180,-13678354.979393836,6321788.774478626
5404,53142,EB CECILE DR AT HIGHVIEW PL,Northeast Sector,Port Moody,22,13,10,11,6,8,-122.872485,49.274941,180,Fall 2018,,180,-13678104.162619976,6321643.504318358
5405,53144,EB SAINT JOHNS ST AT DOUGLAS ST,Northeast Sector,Port Moody,22,0,0,0,0,0,-122.863686,49.276593,160; 180; N9,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13677124.684837576,6321925.462011134
5406,53145,EB SAINT JOHNS ST AT ELGIN ST,Northeast Sector,Port Moody,7,0,0,8,7,5,-122.861233,49.276629,160; 180; N9,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13676851.634393696,6321931.5498631
5407,53147,EB SAINT JOHNS ST AT MOODY ST,Northeast Sector,Port Moody,6,0,0,21,15,14,-122.85052,49.276572,160; 180; N9,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13675658.998660078,6321921.833663943
5408,53184,WB SAINT JOHNS ST AT MOODY ST,Northeast Sector,Port Moody,25,15,12,6,0,0,-122.850785,49.276792,160; 180; N9,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13675688.544976918,6321959.403672099
5409,53185,WB SAINT JOHNS ST AT QUEENS ST,Northeast Sector,Port Moody,44,23,17,21,10,6,-122.859243,49.276788,160; 180; N9,Fall 2018,,180,-13676630.079232039,6321958.71101346
5410,53186,WB SAINT JOHNS ST AT ELGIN ST,Northeast Sector,Port Moody,21,0,0,10,0,0,-122.862261,49.276752,160; 180; N9,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13676965.991024412,6321952.581204113
5411,53187,WB SAINT JOHNS ST AT BARNET HWY,Northeast Sector,Port Moody,82,13,9,152,14,12,-122.867831,49.276695,180; N9,Fall 2018,,180,-13677586.133312644,6321942.73097833
5412,53188,WB CECILE DR AT HIGHVIEW PL,Northeast Sector,Port Moody,12,8,7,23,11,7,-122.87269,49.275131,180,Fall 2018,,180,-13678126.981500315,6321675.910036252
5413,53189,WB CECILE DR AT 1000 BLOCK,Northeast Sector,Port Moody,18,11,7,30,11,11,-122.874831,49.275949,180,Fall 2018,,180,-13678365.316029986,6321815.558806712
5414,53190,NB CECILE DR AT CECILE PL,Northeast Sector,Port Moody,37,26,20,63,27,23,-122.875416,49.278128,180,Fall 2018,,180,-13678430.42324001,6322187.336785384
5415,53191,NB CECILE DR AT EVERGREEN DR,Northeast Sector,Port Moody,36,18,14,32,15,12,-122.874881,49.280945,180,Fall 2018,,180,-13678370.857512353,6322668.052602321
5416,53192,NB COLLEGE PARK WAY AT OXFORD DR,Northeast Sector,Port Moody,27,16,12,32,13,12,-122.871204,49.283349,180,Fall 2018,,180,-13677961.535388434,6323078.241912087
5417,53193,NB WASHINGTON DR AT YALE RD,Northeast Sector,Port Moody,0,0,0,0,0,0,-122.871016,49.285097,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13677940.665553872,6323376.572038613
5418,53194,WB WASHINGTON DR AT 800 BLOCK,Northeast Sector,Port Moody,10,5,0,0,0,0,-122.872061,49.286817,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13678057.027772132,6323670.034577482
5419,53195,WB WASHINGTON DR AT 834,Northeast Sector,Port Moody,7,0,0,0,0,0,-122.873349,49.287851,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13678200.401224049,6323846.480206128
5420,53196,WB WASHINGTON DR AT PRINCETON AVE,Northeast Sector,Port Moody,0,0,0,0,0,0,-122.876048,49.288368,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13678500.856075462,6323934.712789145
5421,53197,SB PRINCETON AVE AT YALE RD,Northeast Sector,Port Moody,14,10,0,8,0,0,-122.876341,49.286065,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13678533.417648964,6323541.66594001
5422,53198,SB PRINCETON AVE AT MCMASTER COURT,Northeast Sector,Port Moody,31,21,13,15,10,8,-122.87665,49.284485,180,Fall 2018,,180,-13678567.77751486,6323272.039692183
5423,53199,SB PRINCETON AVE AT HARVARD DR,Northeast Sector,Port Moody,20,13,8,0,0,0,-122.877246,49.282803,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13678634.153773483,6322985.011566125
5424,53200,SB GLENAYRE DR AT COLLEGE PARK WAY,Northeast Sector,Port Moody,20,11,12,0,0,0,-122.880444,49.280956,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13678990.121641621,6322669.841896545
5425,53201,SB GLENAYRE DR AT ANGELA DR,Northeast Sector,Port Moody,27,15,10,7,0,0,-122.880933,49.27799,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13679044.590824565,6322163.746556887
5426,53202,SB GLENAYRE DR AT VALOUR DR,Northeast Sector,Port Moody,14,7,7,0,0,0,-122.880829,49.276139,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13679033.069742085,6321847.952705211
5427,53203,SB GLENAYRE DR AT GLENCOE DR,Northeast Sector,Port Moody,40,21,17,17,6,0,-122.880732,49.274308,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13679022.197755024,6321535.491309924
5428,53204,SB GLENAYRE DR AT CAITHNESS CRES,Northeast Sector,Port Moody,36,20,19,7,5,0,-122.880579,49.271668,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13679005.159343386,6321085.074649705
5429,53205,SB CLARKE RD AT GLENAYRE DR,Northeast Sector,Coquitlam,135,78,57,23,9,6,-122.879866,49.269724,180; N9,Fall 2018,,180,-13678925.791142551,6320753.438620115
5430,53206,SB CLARKE RD AT THOMPSON AVE,Northeast Sector,Coquitlam,93,51,33,14,0,0,-122.881911,49.268141,180; N9,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13679153.480445826,6320483.39713693
5431,53207,SB CLARKE RD AT KEMSLEY AVE,Northeast Sector,Coquitlam,21,13,9,7,0,0,-122.884085,49.266341,180; N9,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13679395.447054232,6320176.251618926
5432,53208,SB CLARKE RD AT COMO LAKE AVE,Northeast Sector,Coquitlam,20,7,7,43,37,28,-122.888625,49.262805,156; 180; N9,Fall 2018,,180,-13679900.878869535,6319573.078935422
5433,53209,BURQUITLAM STN BAY 6,Northeast Sector,Coquitlam,103,35,35,261,134,95,-122.890324,49.261495,156; 180; N9,Fall 2018,,180,-13680090.04507734,6319349.572623074
5438,53268,WB SAINT JOHNS ST AT MARY ST,Northeast Sector,Port Moody,18,7,0,21,10,6,-122.855015,49.276809,160; 180; N9,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13676159.473738749,6321962.182752718
5439,58191,NB NORTH RD AT GATINEAU PL,Northeast Sector,Coquitlam,94,35,28,0,0,0,-122.892661,49.248513,110; 152; 156; 180; N9,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13680350.147535844,6317135.494376184
5440,58224,EB SAINT JOHNS ST AT KYLE ST,Northeast Sector,Port Moody,25,10,0,35,19,14,-122.856519,49.27665,160; 180; N9,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13676326.864872562,6321935.029338125
5441,58227,EB SAINT JOHNS ST AT ALBERT ST,Northeast Sector,Port Moody,153,12,10,127,7,6,-122.867099,49.276527,180; N9,Fall 2018,,180,-13677504.624165641,6321914.180924647
5443,58945,MOODY CENTRE STN BAY 1 UNLOADING ONLY,Northeast Sector,Port Moody,0,0,0,371,130,101,-122.84529,49.277676,180; 181; 182; 183; 184,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13675076.823921196,6322110.171791699
5444,59531,BURQUITLAM STN BAY 5,Northeast Sector,Coquitlam,394,192,157,186,75,58,-122.889791,49.261648,156; 180; N9,Fall 2018,,180,-13680030.641670542,6319375.771365205
5445,59996,NB NORTH RD AT FOSTER AVE,Northeast Sector,Coquitlam,19,6,0,50,16,11,-122.89283,49.256333,156; 180; N9,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13680368.94185446,6318469.131154636
5446,61891,MOODY CENTRE STN BAY 6,Northeast Sector,Port Moody,373,115,91,0,0,0,-122.84682,49.277828,180,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,180,-13675247.211003004,6322136.1042022845
5447,53231,WB IOCO RD AT METTA ST,Northeast Sector,Port Moody,0,0,0,9,0,0,-122.834973,49.286494,181,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,181,-13673928.32344299,6323614.879386312
5448,53232,WB IOCO RD AT HARBOUR PL,Northeast Sector,Port Moody,0,0,0,9,0,0,-122.838341,49.288036,181,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,181,-13674303.260483366,6323878.110109976
5449,53233,WB IOCO RD AT MERCIER RD,Northeast Sector,Port Moody,0,0,0,7,0,0,-122.842591,49.289952,181,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,181,-13674776.375230754,6324205.04931295
5450,53234,WB IOCO RD AT KICKING HORSE WAY,Northeast Sector,Port Moody,0,0,0,12,11,6,-122.846162,49.291117,181,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,181,-13675173.886460716,6324403.991646538
5451,53235,WB IOCO RD AT BARBER ST,Northeast Sector,Port Moody,0,0,0,6,0,0,-122.856085,49.294436,181,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,181,-13676278.54226261,6324970.401951434
5452,53236,WB IOCO RD AT 1100 BLOCK,Northeast Sector,Port Moody,0,0,0,10,6,0,-122.860284,49.296265,181,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,181,-13676745.974683534,6325282.676041972
