OBJECTID,Stop_Number,Stop_Name,Sub_Region,Municipality,Avg_Daily_Boardings__Monday_Friday,Avg_Daily_Boardings__Saturday,Avg_Daily_Boardings__Sunday_Holiday,Avg_Daily_Alightings__Monday_Friday,Avg_Daily_Alightings__Saturday,Avg_Daily_Alightings__Sunday_Holiday,Stop_Longitude,Stop_Latitude,Route_Connections,Data_Time_Period,Data_Suppression_Note,Line_Number2,x,y
11924,57176,WB FRASER HWY AT 232 ST,South of Fraser,Langley - Township,23,13,7,6,0,0,-122.581931,49.082529,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13645759.852446148,6288877.421743901
11925,57276,EB 56 AVE AT LANGLEY BYPASS,South of Fraser,Langley - City,7,7,0,7,5,7,-122.641387,49.104514,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13652378.405111793,6292614.913622294
11926,57278,SB 216 ST AT 5300 BLOCK,South of Fraser,Langley - Township,0,0,0,10,15,7,-122.624648,49.10002,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13650515.074385608,6291850.71532723
11927,57304,EB FRASER HWY AT 264 ST,South of Fraser,Langley - Township,20,14,16,95,85,56,-122.491434,49.059331,503,Fall 2018,,503,-13635685.788165504,6284935.585886186
11928,57305,EB FRASER HWY AT 268 ST,South of Fraser,Langley - Township,0,6,0,42,26,18,-122.481117,49.058455,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13634537.321229586,6284786.737981989
11929,57306,EB FRASER HWY AT 270 ST,South of Fraser,Langley - Township,0,0,0,19,18,24,-122.476051,49.058148,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13633973.362917716,6284734.538997152
11930,57307,EB 32 AVE AT 272 ST,South of Fraser,Langley - Township,18,36,5,0,0,0,-122.469684,49.060417,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13633264.603040442,6285120.061565699
11931,57308,EB 32 AVE AT 27400 BLOCK,South of Fraser,Langley - Township,15,0,10,6,0,0,-122.4648,49.060417,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13632720.888782162,6285120.103947455
11936,57313,WB 28 AVE AT 27400 BLOCK,South of Fraser,Langley - Township,7,8,0,0,0,0,-122.464605,49.053184,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13632699.198186921,6283891.386965469
11937,57314,WB 28 AVE AT 273 ST,South of Fraser,Langley - Township,11,9,0,0,5,0,-122.467493,49.053181,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13633020.646170026,6283890.893569167
