OBJECTID,Stop_Number,Stop_Name,Sub_Region,Municipality,Avg_Daily_Boardings__Monday_Friday,Avg_Daily_Boardings__Saturday,Avg_Daily_Boardings__Sunday_Holiday,Avg_Daily_Alightings__Monday_Friday,Avg_Daily_Alightings__Saturday,Avg_Daily_Alightings__Sunday_Holiday,Stop_Longitude,Stop_Latitude,Route_Connections,Data_Time_Period,Data_Suppression_Note,Line_Number2,x,y
29,50101,WB CORNWALL AVE AT CYPRESS ST,Vancouver/UBC,Vancouver,206,123,105,743,517,332,-123.148302,49.272539,002; 032; N22,Fall 2018,,002,-13708807.952633513,6321233.67023813
30,50102,WB CORNWALL AVE AT MAPLE ST,Vancouver/UBC,Vancouver,68,42,31,136,124,97,-123.150628,49.272566,002; 032; N22,Fall 2018,,002,-13709066.892011449,6321238.21984218
31,50103,WB CORNWALL AVE AT ARBUTUS ST,Vancouver/UBC,Vancouver,75,47,55,160,133,77,-123.152989,49.272608,002; 032; N22,Fall 2018,,002,-13709329.734956473,6321245.520626696
32,50104,WB CORNWALL AVE AT YEW ST,Vancouver/UBC,Vancouver,143,120,99,305,287,221,-123.155439,49.272645,002; 032; N22,Fall 2018,,002,-13709602.517239233,6321251.792062265
33,50105,WB CORNWALL AVE AT LARCH ST,Vancouver/UBC,Vancouver,75,47,36,155,130,69,-123.161774,49.272749,002; 032; N22,Fall 2018,,002,-13710307.646031257,6321269.546596275
34,50106,WB CORNWALL AVE AT TRAFALGAR ST,Vancouver/UBC,Vancouver,35,19,16,41,33,28,-123.164636,49.272799,002; 032; N22,Fall 2018,,002,-13710626.315611523,6321278.113638083
35,50107,SB MACDONALD ST AT W 1 AVE,Vancouver/UBC,Vancouver,26,21,12,61,55,29,-123.168329,49.270767,002; 032; N22,Fall 2018,,002,-13711037.398553943,6320931.296180228
36,50108,SB MACDONALD ST AT W 3 AVE,Vancouver/UBC,Vancouver,176,95,67,395,259,150,-123.168389,49.268877,002; 032; N22,Fall 2018,,002,-13711044.02792376,6320608.952688045
37,50109,SB MACDONALD ST AT W 6 AVE,Vancouver/UBC,Vancouver,24,10,7,74,53,39,-123.168483,49.266274,002; N22,Fall 2018,,002,-13711054.56356108,6320164.863111738
38,50110,SB MACDONALD ST AT W BROADWAY,Vancouver/UBC,Vancouver,517,352,288,936,681,484,-123.168373,49.264268,002; N22,Fall 2018,,002,-13711042.237386048,6319822.638491769
39,50111,SB MACDONALD ST AT W 11 AVE,Vancouver/UBC,Vancouver,55,20,12,95,45,34,-123.16835,49.261885,002; N22,Fall 2018,,002,-13711039.75125337,6319416.142392999
40,50112,SB MACDONALD ST AT W 13 AVE,Vancouver/UBC,Vancouver,28,13,13,86,61,36,-123.168418,49.260198,002; N22,Fall 2018,,002,-13711047.250068175,6319128.343106537
41,50113,SB MACDONALD ST AT W 16 AVE,Vancouver/UBC,Vancouver,91,78,54,152,106,65,-123.168496,49.257315,002; N22,Fall 2018,,002,-13711055.938313305,6318636.600065449
42,50114,WB W 16 AVE AT MACDONALD ST,Vancouver/UBC,Vancouver,14,0,0,172,157,114,-123.168896,49.257816,002; 033,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13711100.540353447,6318722.123714478
43,50115,WB W 16 AVE AT MACKENZIE ST,Vancouver/UBC,Vancouver,0,0,0,20,13,11,-123.170777,49.257839,002; 033,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13711309.862232083,6318725.966556742
