OBJECTID,Stop_Number,Stop_Name,Sub_Region,Municipality,Avg_Daily_Boardings__Monday_Friday,Avg_Daily_Boardings__Saturday,Avg_Daily_Boardings__Sunday_Holiday,Avg_Daily_Alightings__Monday_Friday,Avg_Daily_Alightings__Saturday,Avg_Daily_Alightings__Sunday_Holiday,Stop_Longitude,Stop_Latitude,Route_Connections,Data_Time_Period,Data_Suppression_Note,Line_Number2,x,y
11644,60844,NB NO. 8 RD AT 6500 BLOCK,Richmond,Richmond,17,0,0,18,0,0,-123.02413,49.161736,418,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,418,-13694985.228186427,6302350.3082954455
11645,60845,SB NO. 8 RD AT BLUNDELL RD,Richmond,Richmond,11,0,0,0,0,0,-123.024295,49.158521,418,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,418,-13695003.560597226,6301802.946270846
11646,60846,EB BLUNDELL RD AT 18300 BLOCK,Richmond,Richmond,16,0,0,0,0,0,-123.01988,49.159279,418,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,418,-13694273.808190726,6301948.095085545
11647,60847,NB NELSON RD AT BLUNDELL RD,Richmond,Richmond,51,0,0,0,0,0,-123.012695,49.159854,418,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,418,-13693715.330713231,6302113.64796544
11648,61558,WB WESTMINSTER HWY AT HWY 91 OFFRAMP,Richmond,Richmond,0,0,0,7,0,0,-122.976893,49.168577,410; 418,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,418,-13689726.803495733,6303514.877050074
11651,51319,SB KNIGHT STREET BRIDGE AT MITCHELL I,Richmond,Richmond,19,8,5,89,22,16,-123.077678,49.206054,022; 405; 407; 430,Fall 2018,,430,-13700946.172364403,6309898.045534387
11652,51324,EB BRIDGEPORT RD AT SWEDEN WAY,Richmond,Richmond,219,157,153,165,164,132,-123.082197,49.191866,407; 430,Fall 2018,,430,-13701449.253443332,6307480.981091724
11653,51325,NB KNIGHT STREET BRIDGE AT MITCHELL I,Richmond,Richmond,32,9,7,11,7,0,-123.077182,49.206873,022; 405; 407; 430,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,430,-13700890.974207046,6310037.609494064
11663,52084,NB GARDEN CITY RD AT CAMBIE RD,Richmond,Richmond,115,64,48,11,16,0,-123.124325,49.185063,407; 430,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,430,-13706138.833598804,6306322.173202984
11664,52085,NB GARDEN CITY RD AT CAPSTAN WAY,Richmond,Richmond,73,51,18,16,9,6,-123.124548,49.18825,430,Fall 2018,,430,-13706163.724546066,6306864.9502765825
11666,56465,EB BRIDGEPORT RD AT NO. 4 RD,Richmond,Richmond,38,40,30,96,70,58,-123.114305,49.191877,407; 430,Fall 2018,,430,-13705023.429990366,6307482.794041845
11667,56470,SB GARDEN CITY RD AT CAPSTAN WAY,Richmond,Richmond,25,14,8,86,50,38,-123.125007,49.188049,407; 430,Fall 2018,,430,-13706214.80415037,6306830.805390895
11668,56471,SB GARDEN CITY RD AT CAMBIE RD,Richmond,Richmond,28,16,14,134,76,72,-123.124786,49.183992,407; 430,Fall 2018,,430,-13706190.198026977,6306139.82752193
11669,56546,RICHMOND-BRIGHOUSE STN BAY 1,Richmond,Richmond,430,254,224,21,36,15,-123.1364,49.167053,301; 416; 430,Fall 2018,,430,-13707483.042707019,6303255.473147315
