,stop_id,name,region,manicipality,avg_daily_boarding_mf,avg_daily_boarding_sat,avg_daily_boarding_sun,longitude,latitude
29,50102.0,WB CORNWALL AVE AT MAPLE ST,Vancouver/UBC,Vancouver,68,42,31,-123.150628,49.272566
30,50103.0,WB CORNWALL AVE AT ARBUTUS ST,Vancouver/UBC,Vancouver,75,47,55,-123.15298899999999,49.272608
31,50104.0,WB CORNWALL AVE AT YEW ST,Vancouver/UBC,Vancouver,143,120,99,-123.15543899999999,49.272645000000004
32,50105.0,WB CORNWALL AVE AT LARCH ST,Vancouver/UBC,Vancouver,75,47,36,-123.161774,49.272749
33,50106.0,WB CORNWALL AVE AT TRAFALGAR ST,Vancouver/UBC,Vancouver,35,19,16,-123.16463600000002,49.272799
34,50107.0,SB MACDONALD ST AT W 1 AVE,Vancouver/UBC,Vancouver,26,21,12,-123.168329,49.270767
35,50108.0,SB MACDONALD ST AT W 3 AVE,Vancouver/UBC,Vancouver,176,95,67,-123.16838899999999,49.268877
36,50109.0,SB MACDONALD ST AT W 6 AVE,Vancouver/UBC,Vancouver,24,10,7,-123.16848300000001,49.266273999999996
37,50110.0,SB MACDONALD ST AT W BROADWAY,Vancouver/UBC,Vancouver,517,352,288,-123.168373,49.264268
38,50111.0,SB MACDONALD ST AT W 11 AVE,Vancouver/UBC,Vancouver,55,20,12,-123.16835,49.261885
39,50112.0,SB MACDONALD ST AT W 13 AVE,Vancouver/UBC,Vancouver,28,13,13,-123.16841799999999,49.260197999999995
40,50113.0,SB MACDONALD ST AT W 16 AVE,Vancouver/UBC,Vancouver,91,78,54,-123.16849599999999,49.257315000000006
41,50114.0,WB W 16 AVE AT MACDONALD ST,Vancouver/UBC,Vancouver,14,0,0,-123.16889599999999,49.257816
42,50115.0,WB W 16 AVE AT MACKENZIE ST,Vancouver/UBC,Vancouver,0,0,0,-123.170777,49.257839000000004
43,50116.0,WB W 16 AVE AT BALACLAVA ST,Vancouver/UBC,Vancouver,0,0,0,-123.17458,49.257903999999996
44,50118.0,SB MACDONALD ST AT W 19 AVE,Vancouver/UBC,Vancouver,17,10,8,-123.16786200000001,49.255207
45,50119.0,SB MACDONALD ST AT W 21 AVE,Vancouver/UBC,Vancouver,9,10,17,-123.16787,49.253375
